,texto,sentimiento,texto_normalizado
4221,"A los socialistas andaluces no les importan ni los temas,ni las plazas, ni los opositores,sólo están opositando a los bancos d la oposición.",1,social andaluc import tem plaz opositor sol oposit banc d oposicion
14293,"No quiero ir a trabajar #domingodechorreo ""descripción gráfica""",1,quier ir trabaj domingodechorre descripcion grafic
5130,Montoro y Guindos van a ser los encargados de presentar las previsiones económica del Gobierno tras el Consejo de Ministros,2,montor guind van ser encarg present prevision econom gobiern tras consej ministr
10240,@pablogarabito tu muy bien ¡saludos! Q bonito mi nombre al aire @Planeta947 @alelaneta bonito día.,2,bien ¡ salud q bonit nombr air bonit dia
5524,". @javierarenas_pp "" la Consejeria de Turismo estará en #Malaga "" http://t.co/lEqj5h0U",0,consejeri turism malag
267,"A las 3 en @A3noticias, los pilotos de Iberia ponen en riesgo el viaje de Navidad de miles de personas: huelga los días 18 y 29 de diciembre",1,3 pilot iberi pon riesg viaj navid mil person huelg dias 18 29 diciembr
14454,@BonitaAngelique solo dormire dos horitas bueno yo me lo busque,0,sol dormir dos horit buen busqu
12825,@racosta86 a ese Sr le veo cara conocida...,0,sr veo car conoc ...
8604,"@crampsattack fijo se me pierde, la vez pasada la encontré en la lavadora fumando rinso 1 semana",0,fij pierd vez pas encontr lavador fum rins 1 seman
16401,Apuesto por @UPyD. El PSOE debe desaparecer. Han destrozado y arruinado la vida de mucha gente. Lo deben pagar el #20N,0,apuest pso deb desaparec destroz arruin vid much gent deb pag 20n
6128,¡Noticias descombacantes! está disponible! http://t.co/GtjLld7K,2,¡ notici descombac dispon
8872,@mary_robre asi que ahora tenemos una posible nueva carrera armamentista in the making,0,asi ahor posibl nuev carrer armament in the making
7585,".@LadyStarlight4 Con todo lo que implica, "" España se constituye en un Estado social y democrático... "" @Borja_ALVA @Albert_Rivera @Delsurgr ",2,implic españ constitu social democrat ...
11319,@harleyftprego me gustaría poder ir y abrazarte para que te sientas mejor❤ ,2,gust pod ir abrazart sient mejor ❤
5821,Los otros Kony. Crímenes contra la humanidad http://t.co/iucvK65J,1,kony crimen human
6508,Las empresas publicas q cometen irregularidades en @TelediarioInter a las 3 y @CriadoSusana,0,empres public q comet irregular 3
9431,@viridianapd yo tmb no me pongas sentimental,1,tmb pong sentimental
3048,Portada ABC http://t.co/PVwmdBYA ...,0,port abc
2045,Y aquí el equipo del Telediario matinal haciendo el traspaso de poderes a #losdesayunosdetve http://t.co/163jKTi8,0,aqu equip telediari matinal hac traspas poder losdesayunosdetv
10424,"@Gloryagpem @karench0708 ayer andábamos por allá jaja, le diré que vayamos mañana a ver si me dejan gracias lindas",2,ayer andab alla jaj dir vay mañan ver si dej graci lind
1379,En mi escaño esperando que comience la sesión de apertura de la legislatura.,0,escañ esper comienc sesion apertur legislatur
7406,@marianorajoy Adelante Presidente . Las mujeres de #SantaPola contigo. #TrabajarHacerCrecer ,2,adel president mujer santapol contig trabajarhacercrec
13755,hay un monton pituelistas en mi inicio q piensan todo lo contrario a mi y no me pongo densa a comentarle todos sus twitts,0,monton pituel inici q piens contrari pong dens coment twitts
12698,"@TiaEuge2011 siempre me gusta leer e informarme, por supuesto. De hecho no es q desconozca el tema, pero x supuesto. Gracias.",0,siempr gust leer inform supuest hech q desconozc tem x supuest graci
11111,Buen viaje a todos los cod players que van mañana a bcn pasarlo bien y disfrutarlo que yo no puedo ,2,buen viaj cod players van mañan bcn pas bien disfrut pued
4759,Un abrazo para los compañeros de @Publico_es,2,abraz compañer
11392,@PitDiamondcore  Que cabrones..... puffff  .... Bueno se empieza de nuevo no pasa nada jejej ,0,cabron ... pufff ... buen empiez nuev pas jejej
7841,"Los socialistas solo entendemos una manera de hacer política , aquella que pone a las personas en el centro de la vida pública.  @PSOE ",2,social sol entend maner hac polit aquell pon person centr vid public
8724,@AndresCastg verdad? Que triste que se haya llegado a ese punto,1,verd trist lleg punt
11141,"Pablo continúa su hilo, imprescindible.

Luego haremos crowfunding entre todos para hacerle un ""Medium""  https://t.co/pGJQvxKY6r",0,pabl continu hil imprescind lueg har crowfunding hac medium
3790,"Da a entender que es partidario de recurrir a la justicia ordinaria (""Voy a luchar hasta el final"") pero que depende de los abogados.",2,da entend partidari recurr justici ordinari voy luch final depend abog
620,"Un placer! ;-) RT @los30tuiteros: Vemos a @Cepeda, habitual en nuestro ranking, en la sesión extraordinaria de #iesecampañas",2,plac ;-) rt vem habitual ranking sesion extraordinari iesecampañ
5799,"""El buen gobernante es el que deroga leyes, normas y reglamentos, no el que las aprueba"". @marianorajoy en el Congreso. #fullyagree",0,buen gobern derog ley norm reglament aprueb congres fullyagre
652,Christiane Amanpour vuelve a #CNN para hacer lo que sabe hacer mejor: información internacional. http://t.co/qzleo6Fb,2,christian amanpour vuelv cnn hac sab hac mejor inform internacional
7500,"@AntolinSanzPP : El paro juvenil baja en 31.600 personas en el primer trimestre"" vía @PPopular #TrabajarHacerCrecer http://t.co/cgfEYCNxBC ",2, par juvenil baj 31.600 person prim trimestr via trabajarhacercrec
15668,"@marianorajoy Si voto CAMBIO, ¿ya no tendré acceso a las becas para estudiar como me pasó cuando gobernó Aznar?",1,si vot cambi ¿ acces bec estudi pas gobern aznar
12441,Cuando yo intento creerte te burlas y mientes de nuevo,1,intent creert burl mient nuev
3473,"Miguel Leiva eres muy grande,disfrutando del single nuevo de mi amigo LEIVA,la canción se llama Eme os la recomiendo.",2,miguel leiv grand disfrut singl nuev amig leiv cancion llam eme recom
14726,"@marianorajoy Por favor, amigosh, no me votéish que me lo he penshado mejor con este tshunami que se me viene encima.",1,favor amigosh voteish pensh mejor tshunami vien encim
12013,no sabia q ponerme y me puse feliz ja,2,sabi q pon pus feliz ja
7883,@marianorajoy Este es vuestro objetivo:http://t.co/i1SFj3o2JU ...so pedazo de... ,1,objet
9210,@GloriaTrevi Quiero pasar la Navidad CONTIGO Di que si  Es tan triste que mi papá ya no esté en la mesa,1,quier pas navid contig di si tan trist pap mes
8894,He pasado toda la mañana metida en Google Maps viendo Costa Rica. Pero no hay Street View.,1,pas tod mañan met googl maps viend cost ric street view
5019,Jajajaja llevas razón!!! RT @JesusCintora: @FedericoQuevedo @Cepeda @varaca6 Y menos mal que salen a correr sino a ver quién los aguanta...,2,jajajaj llev razon rt men mal sal corr sin ver quien aguant ...
14319,@alevar13 me la pasas? Mi playlist feliz necesita actualización,0,pas playlist feliz necesit actualiz
6153,Las elecciones en. North Rhine-Westphalia pueden hacer sufrir a Merkel http://t.co/vKuS1bC9,1,eleccion north rhine-westphali pued hac sufr merkel
14028,@chepibolaa literal e de irme a la m* el asalto de hace un mes repercute en mi sueldo de esta quincena. odio todo csm.,1,literal irme m asalt hac mes repercut sueld quincen odi csm
2516,Buenos días a todos! Así amanece Madrid: http://t.co/IyyFH86O,0,buen dias asi amanec madr
9229,"- Doctor, ¿Cómo voy a quedar de la vista? - Tendrá mirada erótica. - ¿Así bien sexy? - No. Va a ver pura verga. -",1,doctor ¿ com voy qued vist mir erot ¿ asi bien sexy va ver pur verg
15293,Ningún momento es fácil pero todos juntos podemos superarlos con un gobierno socialista @conRubalcaba @psoetorrelavega @JSTorrelavega,2,ningun moment facil junt pod super gobiern social
14151,"y @SheyJacobo hacia gestos para yo no voltear y oh sorpresa con quien me encuentro , me encontre a tu nuevo amigui @skparedes",0,haci gest volt oh sorpres encuentr encontr nuev amigui
15857,ha sido todo una aventura pero he conseguido votar por correo y hasta me han sobrado 10 minutos ¡ #20N,0,sid aventur consegu vot corre sobr 10 minut ¡ 20n
5286,El PP propone en el #Congreso que el Gobierno alcence acuerdos con las #RedesSociales para proteger a los menores.,2,pp propon congres gobiern alcenc acuerd redessocial proteg menor
9791,"@MartinCaligaris Tu forma tan linda de decir: Borris Chavez!!! Gracias por el saludo, ya prontito nos vemos, abrazos México papá!!!",2,form tan lind dec borris chavez graci salud prontit vem abraz mexic pap
11120,"Se busca KAORI para el sábado del salón de MURCIA  en noviembre 

No quiero ir de Kousei sola   RT pls https://t.co/hd3o4xOqGH",1,busc kaori sab salon murci noviembr quier ir kousei sol rt pls
12888,Les gustarían edits así? Tratare de aprender como se hacen y aprender mas técnicas de edición La queen de Sel …,2,gust edits asi tratar aprend hac aprend mas tecnic edicion que sel …
7964,"@_InakiLopez_ @SextaNocheTV @Pablo_Iglesias_ y Discúlpame no es contra tì, Es contra quien controla los medios y como se están comportando. ",0,disculpam tì control medi comport
14003,Dateame: albañil bueno bonito y barato please. Pintor de fachada y carpintero. Se agradece!,0,dateam albañil buen bonit barat ple pintor fach carpinter agradec
3603,En el PSC algunos van a tener la tentación de decir que Chacón ha perdido por ser catalana.,1,psc van ten tentacion dec chacon perd ser catalan
10616,Lo bueno que nadamas es esta semana,0,buen nadam seman
16661,UPyD da a conocer sus propuestas sobre igualdad y lucha contra la discriminación #20Nupyd http://t.co/tbwBuUz6 vía @upyd,0,upyd da conoc propuest iguald luch discrimin 20nupyd
7781,"@agarzon eso es lo que le gusta a la iglesia catolica, la que vive del dinero público, que nada cambie, no sea que se vean sus mentiras ",0,gust iglesi catol viv diner public cambi vean mentir
10674,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,2,ah supuest sol inclu entend mal
1506,La consejera gallega de Salud será desde mañana número 2 del Ministerio de Sanidad. Allí dejó sin tarjeta sanitaria a los parados... Aquí?,1,consejer galleg salud mañan numer 2 ministeri sanid alli dej tarjet sanitari par ... aqu
10565,Así ando amigas Ni una noche y extraño a mi familia Me siento sola Mi amiga con su novio Necesito abrazos,1,asi ando amig noch extrañ famili sient sol amig novi necesit abraz
15504,"@Lissavetzky_M ""no se trata de abaratar el despido, sino de abaratar la contrataión"" #mitin_Aluche @psoelatina @conRubalcaba",0,trat abarat desp sin abarat contrataion mitin_aluch
13693,"Mi usb de mierda está malogrado y se me borró TODA MI PUTA INFO de eeggll ensayo de argu, monografia de investiga, los extrañaré",1,usb mierd malogr borr tod put info eeggll ensay argu monografi investig extrañ
9542,"Acabo de recibir un CV de un diseñador dentro de una revista en pdf, videos de su novia en youtube y jpgs random Still don't get it.",0,acab recib cv diseñ dentr revist pdf vide novi youtub jpgs random still don't get it
13044,@uklatinamerica A mi + q la gráfica me hacen ruido las eternas e invariables promotoras mujeres de adorno al lado de cualquier cosa..,1,q grafic hac ruid etern invari promotor mujer adorn lad cualqui cos ..
14770,"@anacubilla @ppopular Ana, te aseguro, q no es así. I no estamos en quiebra, no estamos tan mal. Tenemos catarro.",0,ana asegur q asi i quiebr tan mal catarr
8611,Que feo estar sin celular,1,feo celul
1648,"Enhorabuena!!! RT @90mn90d: CIERRE 2011: 51.939€ http://t.co/JswpiVyh Y GRACIAS por acompañarnos, y más aún por AYUDAR al #CuernodeAfrica",2,enhorabuen rt cierr 2011 51.939 €
4890,"7 muertos, 2 heridos graves y 6 leves este fin de semana en accidentes de tráfico, desde las 15h viernes hasta las 24h domingo, (DGT).",1,7 muert 2 her grav 6 lev fin seman accident trafic 15h viern 24h doming dgt
730,El círculo quedará completo. @Pedroj_ramirez también presentará su obra #ElPrimerNaufragio en Logroño. Su ciudad noo podía quedarse fuera.,0,circul qued complet present obra elprimernaufragi logroñ ciud noo pod qued
5440,".@javierarenas_pp está por encima de Griñán en valoración, como pasa en todas las encuestas http://t.co/Imhb0hBZ #elcambioandaluz",0,encim griñan valor pas tod encuest
15825,"Quiero dar las gracias a los ciudadan@s de Catalunya x habernos dejado, con sus votos, construir el estado de bienestar @conRubalcaba",2,quier dar graci ciudad @s cataluny x hab dej vot constru bienest
10505,@JhosselinOlan Jajaja mismo edificio pero diferentes pasillos,0,jajaj mism edifici diferent pasill
10000,"@karlacg_ ayñ, si eso pasa, uno de mis hermanos era super rubio y pues ya no jaja igual está cute tu cabello!",2,ayñ si pas herman sup rubi pues jaj igual cut cabell
14742,Victor dHont ens explica pq votar a @iunida i @icveuia és la millor opció per parar la dreta el 20n: http://t.co/97WzshM4 #nocallis!,1,victor dhont ens explic pq vot i es millor opci per par dret 20n
15992,@Andres_Campos_ charla en la Asociación de Técnicas Orientales. @conRubalcaba. #votapsoe http://t.co/hl1fLAyR,2,charl asoci tecnic oriental .  . votapso
337,Última entrada de #ZP al Consejo UE. Sonriente #euco,2,ultim entrad zp consej ue sonrient euc
10157,Como cuando sigo de vacaciones pero me tengo que desvelar por reportes de servicio social.,1,sig vacacion desvel report servici social
10747,"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",1,ahor madr casi pued hac fot chachis sol caret
1745,"“@Andoni_Agk: @David_Busta jajaja! Ya me extrañaba,coñ..... Diantre!”JAJAJA",2,“ jajaj extrañ coñ ... diantr ” jajaj
7635,"Si quieres echar una mano al trabajo de @UPyD para estar en más instituciones en mayo, aquí: http://t.co/zzYm3PVpIk http://t.co/K8VDe1ojBD ",0,si quier echar man trabaj institu may aqu
3853,RT @JMacarro10: @AlejandroSanz canal plus! Jajajaja,2,canal plus jajajaj
11489,@passion4english Gracias por la info  Lo bueno sería saber si aceptan libros en inglés.,2,graci info buen sab si acept libr ingles
5221,"RT @luisrull: Nunca valoraremos con justicia a los investigadores de Atapuerca. De nuevo, abriendo mundos: http://t.co/zAxi1Kdp",2,nunc valor justici investig atapuerc nuev abriend mund
16877,#FF para todos los que hemos luchado en campaña con @iunida una gran trabajo,2,ff luch campañ gran trabaj
2709,Que rrrriiiicaaaaa RT @naranzu: @AlejandroSanz y de regalo...una Leche Frita desde Cadiz para que (cont) http://t.co/2gsWw7Gw,2,rrriiicaa rt regal ... lech frit cadiz cont
15404,@marianorajoy indignadísimo!! último día para votar por correo y no han llegado los votos #pucherazo!!!! no me dejan votar,1,indignadisim ultim dia vot corre lleg vot pucheraz dej vot
5902,Finalmente sólo ha habido un herido leve. Espero que se reponga pronto!,0,final sol her lev esper repong pront
3388,"Buenos dias a todos! Ayer hicimos un gran partido, lastima que no pudieramos marcar mas goles. De la ceja estoy bien, 4 puntos y adelante.",2,buen dias ayer hic gran part lastim pudier marc mas gol cej bien 4 punt adel
11399,@GamerXtraX Aun no  No tengo algunas legendarias aun ,1,aun legendari aun
9059,Mis anteojos están demasiado flojos y eso que tienen meses de comprados,1,anteoj demasi floj mes compr
15682,"""Tal y como está la política es mejor dedicarse al alpinismo"" #Rubalcaba y una excelente demostración de como perder 150.000 votos indecisos",1,tal polit mejor dedic alpin rubalc excelent demostr perd 150.000 vot indecis
6390,"Mucha tranquilidad entre los populares andaluces. También en el circulo de Rajoy, desde donde no preven que llegue a Génova antes de las 8",0,much tranquil popular andaluc circul rajoy prev lleg genov 8
15552,". @Asoensation ¿pagar impuestos es ""que te roben""?, no sé si he entendido bien @alexizag @iunida",0,¿ pag impuest rob se si entend bien
7384,". @CiudadanosCs ¿me podéis explicar por q presentáis a una ""catalanista"" a la presidencia de la GValenciana? http://t.co/Zswvz3eTBI ",1,¿ pod explic q present catalan president gvalencian
9124,Cada vez que veo a esa muchacha está más guapa,2,cad vez veo muchach guap
9896,"Eres bien divertida y me das mucha risa, siempre andas de buenas y eso me agrada, eres muy buena persona, ya no tengas tantos crushes",2,bien divert das much ris siempr andas buen agrad buen person tant crush
3126,"Frio pero precioso! Eso si, nos hemos dejado el alma para subir hasta el castillo de Heidelberg ! http://t.co/qpQA9N3f",0,fri precios si dej alma sub castill heidelberg
1156,"¿Habrá mañana ""momento Clos"" (ese desastroso ministro de Industria que prometió el cargo como ministro de Justicia)?",1,¿ mañan moment clos desastr ministr industri promet carg ministr justici
