,texto,sentimiento,texto_normalizado
13730,"@maliux justo vi en Ig que lo tenías y te quería preguntar. Cuando lo hagas, espero el review! Y sí, yo tb tengo varios pendientes",0,justo ver ig tenia queria preguntar hagas esperar review si tb tener varios pendiente
8815,@viborildasigue Abrazos para ti desde aquí Vibo ¡Ahí estaré y listísima para grabar la entrevista!,0,abrazo aqui vibo ¡ ahi estare listisima grabar entrevista
323,Zzzzzxz....,0,zzzzzxz
1344,"Resacas navideñas: no se donde hay mas azúcar, en los postres de estos días o en los análisis sobre el nuevo gobierno ? Que atracón",1,resaca navideño mas azucar postres dias analisis nuevo gobierno atracon
12975,"@lamascarada @cuervotinelli tal cuál :/, No seas malo Papá...",1,   tal malo papa
4457,Gran discurso de @javierarenas_pp hoy en el congreso del @partidopopular. Cada dia es mayor su capacidad de llegar a la gente y convencer,2,gran discurso hoy congreso cada dia mayor capacidad llegar gente convencer
372,Comienza el turno de los oyentes en @ProtasRadio,0,comenzar turno oyente
909,"Rajoy anuncia la racionalización del calendario laboral, los puentes se trasladarán al lunes salvo fechas muy señaladas. #investidurarajoy",0,rajoy anunciar racionalizacion calendario laboral puente trasladar lunes salvo fecha señalado investidurarajoy
6724,RT @tuteledigital: @mananascuatro marca máximo rozando el 9% gracias al interés de la huelga general. http://t.co/Sv06dsoC @practica_cuatro,2,   marca maximo rozar gracia interes huelga general
12078,jajajaja que recuerdos cuando amaba la novela #malparida lo malo que Renata era mala,0,jajajaja recuerdo amar novela malparido malo renata malo
16034,Merkel recuerda a Monti que Italia sigue bajo vigilancia http://t.co/6lME3vhC toque de atención de los #mercados #20N #15M #ccoo,0,merkel recordar monti italia seguir bajo vigilancia
3399,me sigue encantando roberto verino... http://t.co/0LEYuwcl,2,seguir encantar roberto verino
496,@mgilguerrero ya se estrena esta noche con una en otra radio.,2,estrenar noche radio
5846,"Nueva subasta bonos y obligaciones del Estado.Según estimaciones dl Tesoro,el importe mínimo previsto 2500 millones e,máximo 3500 millones e",0,nueva subasta bonos obligación estadosegun estimación dl tesoroel importar minimo previsto millón emaximo millón
11114,"@CdeCiencia Bueno, el frío es lo de menos, siempre te puedes poner un buen abrigo ",2,bueno frio menos siempre puedes poner buen abrigo
16427,@DavidRSantayana Sobre bipartidismo:@upyd propone (y a ello condiciona sus apoyos) el cambio de la Ley Electoral #cadavotovale #20NCantabria,0,bipartidismo proponer ello condicionar apoyo cambio ley electoral cadavotovale ncantabria
12309,"@golden254 @yapeze Jajaja! Sí, leí! Creo que por acá no los tendremos hasta el 2018, por lo menos.",0,   jajaja si lei creer aca tener menos
7576,Guillermo Catalán encabezará la candidatura de UPyD para el Ayuntamiento de Haro http://t.co/assz5uLmti vía @upyd ,0,guillermo catalan encabezar candidatura upyd ayuntamiento haro
15884,"@marianorajoy Esperemos que sea así y que el @PSOE haga lo que dices, porque si sales tu es decir el @PPopular las cosas se harán mucho peor",1,esperar asi hacer decir si salar decir cosa har peor
3470,"El Gobierno aprueba un ""salario mínimo"" para los banqueros cuyos bancos sean intervenidos: ""sólo"" podrán cobrar 300.000 euros.",1,gobierno aprobar salario minimo banquero cuyos banco intervenidos solo podran cobrar euro
5302,#ElCambioAndaluz Arenas se compromete a modernizar y agilizar la Justicia  para adaptarla a las... http://t.co/k1mogtyW @javierarenas_pp,2,elcambioandaluz arena comprometer modernizar agilizar justicia adaptarla
6984,"Curiosidades del CIS: la reforma laboral apenas es mencionada como uno de los problemas de España (1,2%); el desempleo abruma (84%)",1,curiosidad cis reforma laboral apenas mencionada problema españa desempleo abrumar
15706,"@conRubalcaba sobre @CarmeChacon2011 ""Gracias Carmen por tu trabajo, tu apoyo y tu inteligencia"". Dirà el mateix el 21N?",0,gracia carmen trabajo apoyo inteligencia dirà mateix n
1244,"No le concede Santamaría importancia a la reducción en el número de mujeres de ministras: ""En el trabajo no hay distinción de géneros"".",0,conceder santamaria importancia reduccion numero mujer ministras trabajo distincion generos
4365,Seguimos en el #17CongresoPP #comprometidosconEspaña http://t.co/SyHNTbWH,0,seguir congresopp comprometidosconespaña
15932,@conrubalcaba en el programa del PP no hay nada q les pueda costar un voto. Es una indecencia democratica!! #noéselmateix #20n,1,programa pp q pueda costar voto indecencia democratica noeselmateix n
1195,Margallo recupera la Secretaría de Estado para Iberoamérica http://t.co/EMbOFpP2,2,margallo recuperar secretaria iberoamerica
13605,Sabes que no tendrás un buen día cuando lo primero que haces en la mañana es tratar de cambiar un foco y este te cae en la cara,1,saber tendras buen dia primero hacer mañana tratar cambiar foco caer cara
4953,El PP rechaza en solitario la propuesta de @Pedro_Zerolo para que el Ayto exija a la CM que ejecute las obras del CEP de Fuencarral.,1,pp rechazar solitario propuesto ayto exija cm ejecutar obra cep fuencarral
10655,@DianaLeealM es de Dianas jaja gracias bella,2,diana jaja gracias bello
1423,Buenos días inocentes todos! Así amanece Madrid: http://t.co/8VAm4lYt,2,bueno dias inocente asi amanecer madrid
7803,@kolontai1959 @ahorapodemos Ojalá que de aquí a unos 20 años los centros sociales sean parte indispensable de la construcción de sociedad ,0,   ojala aqui año centro social parte indispensable construccion sociedad
256,"Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo",1,europa construir recortar bienestar austeridad si inteligente bienestar moderno inversion creer empleo
15067,"Otro mítin extraordinario d @UPyD en la calle en Madrid Nvos Ministerios con @aanchuelo y Yolanda Sámchez Moya, un lujo http://t.co/JROxmnBM",2,mitin extraordinario d calle madrid nvos ministerios yolanda samchez moya lujo
10792,"@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular ",2,edificio si edificio b facilisimo articular
288,"RT:“@fernavarro17: ""En los periódicos falta calor, sudor.. humanidad"". Gran entrevista sobre periodismo http://t.co/vDBsdOsT” vía @ceciliab",0,rt “ periodicos faltar calor sudor humanidad gran entrevista periodismo
6288,"Ahora sí, hasta mañana y recordad: se acerca el invierno...",0,ahora si mañana recordad acerca invierno
6578,Es @UPyD un partido de ppios? Sí por supuesto.Q harán ustedes en Asturias? ehhh.esto..uhmm a ver..si es que.bueno...depende.. @Borja_Semper,1,partido ppios si supuestoq har ustedes asturias ehhhestouhmm versi quebuenodepende
13042,"me dijeron 'no sos hombre', me llegó al alma",1,decir sos hombre llegar alma
15813,@Asoensation Creo que a tí te falta un poquito de formación financiera. Los especuladores no son lo mismo que los acreedores. @iunida,0,creer faltar poquito formacion financiero especulador mismo acreedor
12933,"Hoy la luna esta hermosa ,plena",2,hoy luna hermoso pleno
12009,@danielamercury @esperarportiGa un novo mercuryano !!!,2,   novo mercuryano
13395,El mejor #piropo de mi vida «estás #buchisapa y pareces un #kion»,1,mejor piropo vida « buchisapa pareces kion »
4484,"Con las proclamas antiPP, anticapitalistas y anticlericales del 19F y con los #premiosgoya España encara un nuevo amanecer. Se ve claro",0,proclama antipp anticapitalistas anticlerical f premiosgoya españa encarar nuevo amanecer ver claro
16830,"""@omenendez: Voy a votar a @iunida. En este post explico por qué: http://t.co/mdA99mPj #eligeiu""",0,voy votar post explico
13135,"No, la verdad es que no sé qué haré por el cumpleaños de Yixing. O sea, ¿han visto todo lo que hacen las xingmis? Son muy lindas",2,verdad har cumpleaños yixing ¿ visto hacer xingmis lindo
7945,@agarzon contagias ilusión ,2,contagias ilusion
8687,"Necesito plata, mi regalo de cumpleaños no alcanzó para la ropa de navidad y año nuevo",1,necesitar plata regalo cumpleaños alcanzar ropa navidad año nuevo
1232,Eso fue una maniobra para engañarle y que se hiciera twitter.. :P RT @van_oli_ @aarbeloa17 Pero tienes un año mas por culpa de Xabi!!!,0,maniobra engañarle hacer twitter p rt    tener año mas culpa xabi
1280,"Un cocinero dice que meterle pasas y piñones es un error. El asunto no es ese, es que no se seque. #elpavoesmuysecorro",1,cocinero decir meterle paso piñón error asunto secar elpavoesmuysecorro
13097,@CuadradoAndres @grazianopascale @adeladubra jaja muchas gracias!!! muy buena onda de todos los implicados!!!,2,    jaja gracia bueno onda implicado
12732,"@barsacampeon10 Qué horror, la mala suerte de esa pobre niña es tremenda... Pobrecita...",1,horror malo suerte pobre niña tremendo pobrecito
2675,@Enric_Hernandez Y ese déficit nunca ha estado oculto...,1,deficit nunca oculto
1112,"Subvenciones públicas para decir cosas como esta? Esto es ""cultura""? http://t.co/JLGcwZjW",1,subvención publicas decir cosa cultura
7026,#HolaDictadura y q es para vosotros la democracia? Q se imponga vuestra voluntad? Xq no os presentáis a unas elecciones DEMOCRÁTICASaaaaaa,1,holadictadura q democracia q imponer voluntad xq presentais elección democraticasaaaaaa
10188,Feeeliz dia a todas las enfermeras del mundo mundial son lo mejor que hay,2,feeeliz dia enfermero mundo mundial mejor
4221,"A los socialistas andaluces no les importan ni los temas,ni las plazas, ni los opositores,sólo están opositando a los bancos d la oposición.",1,socialista andaluz importar temasni plaza opositoressolo estan opositar banco d oposicion
14293,"No quiero ir a trabajar #domingodechorreo ""descripción gráfica""",1,querer ir trabajar domingodechorreo descripcion grafica
5130,Montoro y Guindos van a ser los encargados de presentar las previsiones económica del Gobierno tras el Consejo de Ministros,2,montoro guindo van ser encargado presentar previsión economica gobierno tras consejo ministro
10240,@pablogarabito tu muy bien ¡saludos! Q bonito mi nombre al aire @Planeta947 @alelaneta bonito día.,2,bien ¡ saludos q bonito nombre aire    bonito dia
5524,". @javierarenas_pp "" la Consejeria de Turismo estará en #Malaga "" http://t.co/lEqj5h0U",0,    consejeria turismo malaga
267,"A las 3 en @A3noticias, los pilotos de Iberia ponen en riesgo el viaje de Navidad de miles de personas: huelga los días 18 y 29 de diciembre",1,piloto iberia poner riesgo viaje navidad miles persona huelga dias diciembre
14454,@BonitaAngelique solo dormire dos horitas bueno yo me lo busque,0,solo dormire dos horitas bueno buscar
12825,@racosta86 a ese Sr le veo cara conocida...,0,sr ver cara conocido
8604,"@crampsattack fijo se me pierde, la vez pasada la encontré en la lavadora fumando rinso 1 semana",0,fijo perder vez pasada encontre lavadora fumar rinso semana
16401,Apuesto por @UPyD. El PSOE debe desaparecer. Han destrozado y arruinado la vida de mucha gente. Lo deben pagar el #20N,0,apuesto psoe debe desaparecer destrozar arruinar vida gente deben pagar n
6128,¡Noticias descombacantes! está disponible! http://t.co/GtjLld7K,2,¡ noticia descombacantes disponible
8872,@mary_robre asi que ahora tenemos una posible nueva carrera armamentista in the making,0,asi ahora tener posible nueva carrera armamentista in the making
7585,".@LadyStarlight4 Con todo lo que implica, "" España se constituye en un Estado social y democrático... "" @Borja_ALVA @Albert_Rivera @Delsurgr ",2,implicar españa constituir social democratico     
11319,@harleyftprego me gustaría poder ir y abrazarte para que te sientas mejor❤ ,2,gustaria poder ir abrazarte sentar mejor ❤
5821,Los otros Kony. Crímenes contra la humanidad http://t.co/iucvK65J,1,kony crimenes humanidad
6508,Las empresas publicas q cometen irregularidades en @TelediarioInter a las 3 y @CriadoSusana,0,empresa publicas q cometer irregularidad
9431,@viridianapd yo tmb no me pongas sentimental,1,tmb poner sentimental
3048,Portada ABC http://t.co/PVwmdBYA ...,0,portado abc
2045,Y aquí el equipo del Telediario matinal haciendo el traspaso de poderes a #losdesayunosdetve http://t.co/163jKTi8,0,aqui equipo telediario matinal hacendar traspaso poder losdesayunosdetve
10424,"@Gloryagpem @karench0708 ayer andábamos por allá jaja, le diré que vayamos mañana a ver si me dejan gracias lindas",2,   ayer andabamos alla jaja dire ir mañana ver si dejar gracia lindo
1379,En mi escaño esperando que comience la sesión de apertura de la legislatura.,0,escaño esperar comenzar sesion apertura legislatura
7406,@marianorajoy Adelante Presidente . Las mujeres de #SantaPola contigo. #TrabajarHacerCrecer ,2,adelante presidente mujer santapola contigo trabajarhacercrecer
13755,hay un monton pituelistas en mi inicio q piensan todo lo contrario a mi y no me pongo densa a comentarle todos sus twitts,0,monton pituelistas inicio q pensar contrario pongo densa comentarle twitts
12698,"@TiaEuge2011 siempre me gusta leer e informarme, por supuesto. De hecho no es q desconozca el tema, pero x supuesto. Gracias.",0,siempre gustar leer informarme supuesto hecho q desconocer tema x supuesto gracia
11111,Buen viaje a todos los cod players que van mañana a bcn pasarlo bien y disfrutarlo que yo no puedo ,2,buen viaje cod players van mañana bcn pasarlo bien disfrutarlo poder
4759,Un abrazo para los compañeros de @Publico_es,2,abrazo compañero
11392,@PitDiamondcore  Que cabrones..... puffff  .... Bueno se empieza de nuevo no pasa nada jejej ,0,   cabrón puffff    bueno empezar nuevo pasa jejej
7841,"Los socialistas solo entendemos una manera de hacer política , aquella que pone a las personas en el centro de la vida pública.  @PSOE ",2,socialista solo entender manera hacer politica aquel poner persona centro vida publicar   
8724,@AndresCastg verdad? Que triste que se haya llegado a ese punto,1,verdad triste llegar punto
11141,"Pablo continúa su hilo, imprescindible.

Luego haremos crowfunding entre todos para hacerle un ""Medium""  https://t.co/pGJQvxKY6r",0,"pablo continua hilo imprescindible 

 luego hacer crowfunding hacerle medium"
3790,"Da a entender que es partidario de recurrir a la justicia ordinaria (""Voy a luchar hasta el final"") pero que depende de los abogados.",2,dar entender partidario recurrir justicia ordinario voy luchar final depende abogado
620,"Un placer! ;-) RT @los30tuiteros: Vemos a @Cepeda, habitual en nuestro ranking, en la sesión extraordinaria de #iesecampañas",2,placer rt ver habitual ranking sesion extraordinaria iesecampañas
5799,"""El buen gobernante es el que deroga leyes, normas y reglamentos, no el que las aprueba"". @marianorajoy en el Congreso. #fullyagree",0,buen gobernante derogar ley normas reglamento aprobar congreso fullyagree
652,Christiane Amanpour vuelve a #CNN para hacer lo que sabe hacer mejor: información internacional. http://t.co/qzleo6Fb,2,christiane amanpour volver cnn hacer saber hacer mejor informacion internacional
7500,"@AntolinSanzPP : El paro juvenil baja en 31.600 personas en el primer trimestre"" vía @PPopular #TrabajarHacerCrecer http://t.co/cgfEYCNxBC ",2,   el paro juvenil bajo persona primer trimestre via trabajarhacercrecer
15668,"@marianorajoy Si voto CAMBIO, ¿ya no tendré acceso a las becas para estudiar como me pasó cuando gobernó Aznar?",1,si voto cambio ¿ tendre acceso beca estudiar pasar goberno aznar
12441,Cuando yo intento creerte te burlas y mientes de nuevo,1,intento creerte burla mientes nuevo
3473,"Miguel Leiva eres muy grande,disfrutando del single nuevo de mi amigo LEIVA,la canción se llama Eme os la recomiendo.",2,miguel leiva grandedisfrutando single nuevo amigo leivala cancion llamar eme recomendar
14726,"@marianorajoy Por favor, amigosh, no me votéish que me lo he penshado mejor con este tshunami que se me viene encima.",1,favor amigosh voteish penshar mejor tshunami venir encima
12013,no sabia q ponerme y me puse feliz ja,2,sabio q ponerme poner feliz ja
7883,@marianorajoy Este es vuestro objetivo:http://t.co/i1SFj3o2JU ...so pedazo de... ,1,objetivo
9210,@GloriaTrevi Quiero pasar la Navidad CONTIGO Di que si  Es tan triste que mi papá ya no esté en la mesa,1,querer pasar navidad contigo di si tan triste papa mesa
8894,He pasado toda la mañana metida en Google Maps viendo Costa Rica. Pero no hay Street View.,1,pasar mañana metido google maps viendo costa rico street view
5019,Jajajaja llevas razón!!! RT @JesusCintora: @FedericoQuevedo @Cepeda @varaca6 Y menos mal que salen a correr sino a ver quién los aguanta...,2,jajajaja llevas razon rt      menos mal salar correr sino ver aguanta
14319,@alevar13 me la pasas? Mi playlist feliz necesita actualización,0,paso playlist feliz necesitar actualizacion
6153,Las elecciones en. North Rhine-Westphalia pueden hacer sufrir a Merkel http://t.co/vKuS1bC9,1,elección north rhinewestphalia pueden hacer sufrir merkel
14028,@chepibolaa literal e de irme a la m* el asalto de hace un mes repercute en mi sueldo de esta quincena. odio todo csm.,1,literal irme m asalto hacer mes repercutir sueldo quincena odio csm
2516,Buenos días a todos! Así amanece Madrid: http://t.co/IyyFH86O,0,bueno dias asi amanecer madrid
9229,"- Doctor, ¿Cómo voy a quedar de la vista? - Tendrá mirada erótica. - ¿Así bien sexy? - No. Va a ver pura verga. -",1,doctor ¿ voy quedar vista tendra mirada erotica ¿ asi bien sexy va ver puro verga
15293,Ningún momento es fácil pero todos juntos podemos superarlos con un gobierno socialista @conRubalcaba @psoetorrelavega @JSTorrelavega,2,ningun momento facil junto podemos superarlos gobierno socialista   
14151,"y @SheyJacobo hacia gestos para yo no voltear y oh sorpresa con quien me encuentro , me encontre a tu nuevo amigui @skparedes",0,hacia gesto voltear oh sorpresa encuentro encontre nuevo amigui
15857,ha sido todo una aventura pero he conseguido votar por correo y hasta me han sobrado 10 minutos ¡ #20N,0,sido aventura conseguir votar correo sobradar minuto ¡ n
5286,El PP propone en el #Congreso que el Gobierno alcence acuerdos con las #RedesSociales para proteger a los menores.,2,pp proponer congreso gobierno alcence acuerdo redessociales proteger menor
9791,"@MartinCaligaris Tu forma tan linda de decir: Borris Chavez!!! Gracias por el saludo, ya prontito nos vemos, abrazos México papá!!!",2,forma tan lindo decir borris chavez gracia saludo prontito ver abrazo mexico papa
11120,"Se busca KAORI para el sábado del salón de MURCIA  en noviembre 

No quiero ir de Kousei sola   RT pls https://t.co/hd3o4xOqGH",1,"buscar kaori sabado salon murcia noviembre 

 querer ir kousei solo    rt pls"
12888,Les gustarían edits así? Tratare de aprender como se hacen y aprender mas técnicas de edición La queen de Sel …,2,gustarian edits asi tratare aprender hacer aprender mas tecnicas edicion queen sel …
7964,"@_InakiLopez_ @SextaNocheTV @Pablo_Iglesias_ y Discúlpame no es contra tì, Es contra quien controla los medios y como se están comportando. ",0,    disculpame tì controlar medio estan comportar
14003,Dateame: albañil bueno bonito y barato please. Pintor de fachada y carpintero. Se agradece!,0,dateame albañil bueno bonito barato please pintor fachada carpintero agradecer
3603,En el PSC algunos van a tener la tentación de decir que Chacón ha perdido por ser catalana.,1,psc alguno van tener tentacion decir chacon perdido ser catalán
10616,Lo bueno que nadamas es esta semana,0,bueno nadamas semana
16661,UPyD da a conocer sus propuestas sobre igualdad y lucha contra la discriminación #20Nupyd http://t.co/tbwBuUz6 vía @upyd,0,upyd dar conocer propuesto igualdad lucha discriminacion nupyd
7781,"@agarzon eso es lo que le gusta a la iglesia catolica, la que vive del dinero público, que nada cambie, no sea que se vean sus mentiras ",0,gustar iglesia catolica vivir dinero publico cambiar ver mentira
10674,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,2,   ah mas supuesto solo incluyo habias entendido mal
1506,La consejera gallega de Salud será desde mañana número 2 del Ministerio de Sanidad. Allí dejó sin tarjeta sanitaria a los parados... Aquí?,1,consejera gallego salud sera mañana numero ministerio sanidad alli dejar tarjeta sanitaria parado aqui
10565,Así ando amigas Ni una noche y extraño a mi familia Me siento sola Mi amiga con su novio Necesito abrazos,1,asi andar amigo noche extraño familia sentar solo amiga novio necesitar abrazo
15504,"@Lissavetzky_M ""no se trata de abaratar el despido, sino de abaratar la contrataión"" #mitin_Aluche @psoelatina @conRubalcaba",0,trata abaratar despido sino abaratar contrataion mitinaluche
13693,"Mi usb de mierda está malogrado y se me borró TODA MI PUTA INFO de eeggll ensayo de argu, monografia de investiga, los extrañaré",1,usb mierda malogrado borrar puta info eeggll ensayo argu monografia investigar extrañare
9542,"Acabo de recibir un CV de un diseñador dentro de una revista en pdf, videos de su novia en youtube y jpgs random Still don't get it.",0,acabar recibir cv diseñador dentro revista pdf videos novia youtube jpgs random still dont get it
13044,@uklatinamerica A mi + q la gráfica me hacen ruido las eternas e invariables promotoras mujeres de adorno al lado de cualquier cosa..,1,q grafica hacer ruido eterno invariable promotor mujer adorno lado cualquier cosa
14770,"@anacubilla @ppopular Ana, te aseguro, q no es así. I no estamos en quiebra, no estamos tan mal. Tenemos catarro.",0,   ana asegurar q asi i quiebra tan mal tener catarro
8611,Que feo estar sin celular,1,feo celular
1648,"Enhorabuena!!! RT @90mn90d: CIERRE 2011: 51.939€ http://t.co/JswpiVyh Y GRACIAS por acompañarnos, y más aún por AYUDAR al #CuernodeAfrica",2,enhorabuena rt cierre €
4890,"7 muertos, 2 heridos graves y 6 leves este fin de semana en accidentes de tráfico, desde las 15h viernes hasta las 24h domingo, (DGT).",1,muerto herido grave leve fin semana accidentes trafico h viernes h domingo dgt
730,El círculo quedará completo. @Pedroj_ramirez también presentará su obra #ElPrimerNaufragio en Logroño. Su ciudad noo podía quedarse fuera.,0,circulo quedar completo tambien presentar obra elprimernaufragio logroño ciudad noo podia quedarse
5440,".@javierarenas_pp está por encima de Griñán en valoración, como pasa en todas las encuestas http://t.co/Imhb0hBZ #elcambioandaluz",0,encima griñan valoracion pasa encuestas
15825,"Quiero dar las gracias a los ciudadan@s de Catalunya x habernos dejado, con sus votos, construir el estado de bienestar @conRubalcaba",2,querer dar gracia ciudadan catalunya x habernos dejado voto construir bienestar
10505,@JhosselinOlan Jajaja mismo edificio pero diferentes pasillos,0,jajaja mismo edificio diferente pasillo
10000,"@karlacg_ ayñ, si eso pasa, uno de mis hermanos era super rubio y pues ya no jaja igual está cute tu cabello!",2,ayñ si pasa hermano super rubio pues jaja igual cutir cabello
14742,Victor dHont ens explica pq votar a @iunida i @icveuia és la millor opció per parar la dreta el 20n: http://t.co/97WzshM4 #nocallis!,1,victor dhont ens explicar pq votar i millor opcio per parar dreta n
15992,@Andres_Campos_ charla en la Asociación de Técnicas Orientales. @conRubalcaba. #votapsoe http://t.co/hl1fLAyR,2,charla asociacion tecnicas oriental votapsoe
337,Última entrada de #ZP al Consejo UE. Sonriente #euco,2,ultima entrada zp consejo ue sonriente euco
10157,Como cuando sigo de vacaciones pero me tengo que desvelar por reportes de servicio social.,1,seguir vacaciones tener desvelar reporte servicio social
10747,"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",1,ahora madrid casi puedo hacer foto chachis solo careto
1745,"“@Andoni_Agk: @David_Busta jajaja! Ya me extrañaba,coñ..... Diantre!”JAJAJA",2,“ jajaja extrañabacoñ diantre”jajaja
7635,"Si quieres echar una mano al trabajo de @UPyD para estar en más instituciones en mayo, aquí: http://t.co/zzYm3PVpIk http://t.co/K8VDe1ojBD ",0,si querer echar mano trabajo mas institución mayo aqui
3853,RT @JMacarro10: @AlejandroSanz canal plus! Jajajaja,2,   canal plus jajajaja
11489,@passion4english Gracias por la info  Lo bueno sería saber si aceptan libros en inglés.,2,gracia info bueno serio saber si aceptar libro ingle
5221,"RT @luisrull: Nunca valoraremos con justicia a los investigadores de Atapuerca. De nuevo, abriendo mundos: http://t.co/zAxi1Kdp",2,nunca valorar justicia investigador atapuerca nuevo abrir mundo
16877,#FF para todos los que hemos luchado en campaña con @iunida una gran trabajo,2,ff luchar campaña gran trabajo
2709,Que rrrriiiicaaaaa RT @naranzu: @AlejandroSanz y de regalo...una Leche Frita desde Cadiz para que (cont) http://t.co/2gsWw7Gw,2,rrrriiiicaaaaa rt    regalouna leche fritar cadiz cont
15404,@marianorajoy indignadísimo!! último día para votar por correo y no han llegado los votos #pucherazo!!!! no me dejan votar,1,indignadisimo ultimo dia votar correo llegar voto pucherazo dejar votar
5902,Finalmente sólo ha habido un herido leve. Espero que se reponga pronto!,0,finalmente solo herido leve esperar reponer pronto
3388,"Buenos dias a todos! Ayer hicimos un gran partido, lastima que no pudieramos marcar mas goles. De la ceja estoy bien, 4 puntos y adelante.",2,bueno dias ayer hacer gran partido lastima pudieramos marcar mas gol ceja bien punto adelante
11399,@GamerXtraX Aun no  No tengo algunas legendarias aun ,1,aun tener algún legendarias aun
9059,Mis anteojos están demasiado flojos y eso que tienen meses de comprados,1,anteojo estan demasiado flojo tener mes comprado
15682,"""Tal y como está la política es mejor dedicarse al alpinismo"" #Rubalcaba y una excelente demostración de como perder 150.000 votos indecisos",1,tal politica mejor dedicarse alpinismo rubalcar excelente demostracion perder voto indecisos
6390,"Mucha tranquilidad entre los populares andaluces. También en el circulo de Rajoy, desde donde no preven que llegue a Génova antes de las 8",0,tranquilidad popular andaluz tambien circulo rajoy preven llegar genova
